,Wine
1980-01-31,15136
1980-02-29,16733
1980-03-31,20016
1980-04-30,17708
1980-05-31,18019
1980-06-30,19227
1980-07-31,22893
1980-08-31,23739
1980-09-30,21133
1980-10-31,22591
1980-11-30,26786
1980-12-31,29740
1981-01-31,15028
1981-02-28,17977
1981-03-31,20008
1981-04-30,21354
1981-05-31,19498
1981-06-30,22125
1981-07-31,25817
1981-08-31,28779
1981-09-30,20960
1981-10-31,22254
1981-11-30,27392
1981-12-31,29945
1982-01-31,16933
1982-02-28,17892
1982-03-31,20533
1982-04-30,23569
1982-05-31,22417
1982-06-30,22084
1982-07-31,26580
1982-08-31,27454
1982-09-30,24081
1982-10-31,23451
1982-11-30,28991
1982-12-31,31386
1983-01-31,16896
1983-02-28,20045
1983-03-31,23471
1983-04-30,21747
1983-05-31,25621
1983-06-30,23859
1983-07-31,25500
1983-08-31,30998
1983-09-30,24475
1983-10-31,23145
1983-11-30,29701
1983-12-31,34365
1984-01-31,17556
1984-02-29,22077
1984-03-31,25702
1984-04-30,22214
1984-05-31,26886
1984-06-30,23191
1984-07-31,27831
1984-08-31,35406
1984-09-30,23195
1984-10-31,25110
1984-11-30,30009
1984-12-31,36242
1985-01-31,18450
1985-02-28,21845
1985-03-31,26488
1985-04-30,22394
1985-05-31,28057
1985-06-30,25451
1985-07-31,24872
1985-08-31,33424
1985-09-30,24052
1985-10-31,28449
1985-11-30,33533
1985-12-31,37351
1986-01-31,19969
1986-02-28,21701
1986-03-31,26249
1986-04-30,24493
1986-05-31,24603
1986-06-30,26485
1986-07-31,30723
1986-08-31,34569
1986-09-30,26689
1986-10-31,26157
1986-11-30,32064
1986-12-31,38870
1987-01-31,21337
1987-02-28,19419
1987-03-31,23166
1987-04-30,28286
1987-05-31,24570
1987-06-30,24001
1987-07-31,33151
1987-08-31,24878
1987-09-30,26804
1987-10-31,28967
1987-11-30,33311
1987-12-31,40226
1988-01-31,20504
1988-02-29,23060
1988-03-31,23562
1988-04-30,27562
1988-05-31,23940
1988-06-30,24584
1988-07-31,34303
1988-08-31,25517
1988-09-30,23494
1988-10-31,29095
1988-11-30,32903
1988-12-31,34379
1989-01-31,16991
1989-02-28,21109
1989-03-31,23740
1989-04-30,25552
1989-05-31,21752
1989-06-30,20294
1989-07-31,29009
1989-08-31,25500
1989-09-30,24166
1989-10-31,26960
1989-11-30,31222
1989-12-31,38641
1990-01-31,14672
1990-02-28,17543
1990-03-31,25453
1990-04-30,32683
1990-05-31,22449
1990-06-30,22316
1990-07-31,27595
1990-08-31,25451
1990-09-30,25421
1990-10-31,25288
1990-11-30,32568
1990-12-31,35110
1991-01-31,16052
1991-02-28,22146
1991-03-31,21198
1991-04-30,19543
1991-05-31,22084
1991-06-30,23816
1991-07-31,29961
1991-08-31,26773
1991-09-30,26635
1991-10-31,26972
1991-11-30,30207
1991-12-31,38687
1992-01-31,16974
1992-02-29,21697
1992-03-31,24179
1992-04-30,23757
1992-05-31,25013
1992-06-30,24019
1992-07-31,30345
1992-08-31,24488
1992-09-30,25156
1992-10-31,25650
1992-11-30,30923
1992-12-31,37240
1993-01-31,17466
1993-02-28,19463
1993-03-31,24352
1993-04-30,26805
1993-05-31,25236
1993-06-30,24735
1993-07-31,29356
1993-08-31,31234
1993-09-30,22724
1993-10-31,28496
1993-11-30,32857
1993-12-31,37198
1994-01-31,13652
1994-02-28,22784
1994-03-31,23565
1994-04-30,26323
1994-05-31,23779
1994-06-30,27549
1994-07-31,29660
1994-08-31,23356
