"idx","values"
1960-01-01,87695
1960-02-01,86890
1960-03-01,96442
1960-04-01,98133
1960-05-01,113615
1960-06-01,123924
1960-07-01,128924
1960-08-01,134775
1960-09-01,117357
1960-10-01,114626
1960-11-01,107677
1960-12-01,108087
1961-01-01,92188
1961-02-01,88591
1961-03-01,98683
1961-04-01,99207
1961-05-01,125485
1961-06-01,124677
1961-07-01,132543
1961-08-01,140735
1961-09-01,124008
1961-10-01,121194
1961-11-01,111634
1961-12-01,111565
1962-01-01,101007
1962-02-01,94228
1962-03-01,104255
1962-04-01,106922
1962-05-01,130621
1962-06-01,125251
1962-07-01,140318
1962-08-01,146174
1962-09-01,122318
1962-10-01,128770
1962-11-01,117518
1962-12-01,115492
1963-01-01,108497
1963-02-01,100482
1963-03-01,106140
1963-04-01,118581
1963-05-01,132371
1963-06-01,132042
1963-07-01,151938
1963-08-01,150997
1963-09-01,130931
1963-10-01,137018
1963-11-01,121271
1963-12-01,123548
1964-01-01,109894
1964-02-01,106061
1964-03-01,112539
1964-04-01,125745
1964-05-01,136251
1964-06-01,140892
1964-07-01,158390
1964-08-01,148314
1964-09-01,144148
1964-10-01,140138
1964-11-01,124075
1964-12-01,136485
1965-01-01,109895
1965-02-01,109044
1965-03-01,122499
1965-04-01,124264
1965-05-01,142296
1965-06-01,150693
1965-07-01,163331
1965-08-01,165837
1965-09-01,151731
1965-10-01,142491
1965-11-01,140229
1965-12-01,140463
1966-01-01,116963
1966-02-01,118049
1966-03-01,137869
1966-04-01,127392
1966-05-01,154166
1966-06-01,160227
1966-07-01,165869
1966-08-01,173522
1966-09-01,155828
1966-10-01,153771
1966-11-01,143963
1966-12-01,143898
1967-01-01,124046
1967-02-01,121260
1967-03-01,138870
1967-04-01,129782
1967-05-01,162312
1967-06-01,167211
1967-07-01,172897
1967-08-01,189689
1967-09-01,166496
1967-10-01,160754
1967-11-01,155582
1967-12-01,145936
1968-01-01,139625
1968-02-01,137361
1968-03-01,138963
1968-04-01,155301
1968-05-01,172026
1968-06-01,165004
1968-07-01,185861
1968-08-01,190270
1968-09-01,163903
1968-10-01,174270
1968-11-01,160272
1968-12-01,165614
1969-01-01,146182
1969-02-01,137728
1969-03-01,148932
1969-04-01,156751
1969-05-01,177998
1969-06-01,174559
1969-07-01,198079
1969-08-01,189073
1969-09-01,175702
1969-10-01,180097
1969-11-01,155202
1969-12-01,174508
1970-01-01,154277
1970-02-01,144998
1970-03-01,159644
1970-04-01,168646
1970-05-01,166273
1970-06-01,190176
1970-07-01,205541
1970-08-01,193657
1970-09-01,182617
1970-10-01,189614
1970-11-01,174176
1970-12-01,184416
1971-01-01,158167
1971-02-01,156261
1971-03-01,176353
1971-04-01,175720
1971-05-01,193939
1971-06-01,201269
1971-07-01,218960
1971-08-01,209861
1971-09-01,198688
1971-10-01,190474
1971-11-01,194502
1971-12-01,190755
1972-01-01,166286
1972-02-01,170699
1972-03-01,181468
1972-04-01,174241
1972-05-01,210802
1972-06-01,212262
1972-07-01,218099
1972-08-01,229001
1972-09-01,203200
1972-10-01,212557
1972-11-01,197095
1972-12-01,193693
1973-01-01,188992
1973-02-01,175347
1973-03-01,196265
1973-04-01,203526
1973-05-01,227443
1973-06-01,233038
1973-07-01,234119
1973-08-01,255133
1973-09-01,216478
1973-10-01,232868
1973-11-01,221616
1973-12-01,209893
1974-01-01,194784
1974-02-01,189756
1974-03-01,193522
1974-04-01,212870
1974-05-01,248565
1974-06-01,221532
1974-07-01,252642
1974-08-01,255007
1974-09-01,206826
1974-10-01,233231
1974-11-01,212678
1974-12-01,217173
1975-01-01,199024
1975-02-01,191813
1975-03-01,195997
1975-04-01,208684
1975-05-01,244113
1975-06-01,243108
1975-07-01,255918
1975-08-01,244642
1975-09-01,237579
1975-10-01,237579
1975-11-01,217775
1975-12-01,227621
