,Wool
1965-03-31,6172
1965-06-30,6709
1965-09-30,6633
1965-12-31,6660
1966-03-31,6786
1966-06-30,6800
1966-09-30,6730
1966-12-31,6765
1967-03-31,6720
1967-06-30,7133
1967-09-30,6946
1967-12-31,7095
1968-03-31,7047
1968-06-30,6757
1968-09-30,6915
1968-12-31,6921
1969-03-31,7064
1969-06-30,7206
1969-09-30,7190
1969-12-31,7402
1970-03-31,7819
1970-06-30,7300
1970-09-30,7105
1970-12-31,7259
1971-03-31,7001
1971-06-30,7475
1971-09-30,6840
1971-12-31,7061
1972-03-31,5845
1972-06-30,7529
1972-09-30,7819
1972-12-31,6943
1973-03-31,5714
1973-06-30,6556
1973-09-30,7045
1973-12-31,5947
1974-03-31,5463
1974-06-30,6127
1974-09-30,5540
1974-12-31,4235
1975-03-31,3324
1975-06-30,4793
1975-09-30,5906
1975-12-31,5834
1976-03-31,5240
1976-06-30,5458
1976-09-30,5505
1976-12-31,5002
1977-03-31,3999
1977-06-30,4826
1977-09-30,5318
1977-12-31,4681
1978-03-31,4442
1978-06-30,5305
1978-09-30,5466
1978-12-31,4995
1979-03-31,4573
1979-06-30,5081
1979-09-30,5696
1979-12-31,5079
1980-03-31,4373
1980-06-30,4986
1980-09-30,5341
1980-12-31,4800
1981-03-31,4161
1981-06-30,5007
1981-09-30,5464
1981-12-31,5127
1982-03-31,4240
1982-06-30,5338
1982-09-30,5129
1982-12-31,4437
1983-03-31,3642
1983-06-30,4602
1983-09-30,5524
1983-12-31,4895
1984-03-31,4380
1984-06-30,5186
1984-09-30,6080
1984-12-31,5588
1985-03-31,5009
1985-06-30,5663
1985-09-30,6540
1985-12-31,6262
1986-03-31,5169
1986-06-30,5819
1986-09-30,6339
1986-12-31,5981
1987-03-31,4766
1987-06-30,5976
1987-09-30,6590
1987-12-31,5590
1988-03-31,5135
1988-06-30,5762
1988-09-30,6077
1988-12-31,5882
1989-03-31,4247
1989-06-30,5264
1989-09-30,5146
1989-12-31,4868
1990-03-31,4329
1990-06-30,4869
1990-09-30,5127
1990-12-31,4868
1991-03-31,3827
1991-06-30,4987
1991-09-30,5222
1991-12-31,4928
1992-03-31,3930
1992-06-30,4469
1992-09-30,4954
1992-12-31,4752
1993-03-31,3888
1993-06-30,4588
1993-09-30,5309
1993-12-31,4732
1994-03-31,4837
1994-06-30,6135
1994-09-30,6396
